,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
119,Nosy Varika,0,MG,1563643417,91,-20.58,48.53,68.56,6.69
120,Hobart,0,AU,1563643282,66,-42.88,147.33,51.8,12.75
121,Wilkie,90,CA,1563643419,82,52.41,-108.71,70.0,3.36
122,Clyde River,75,CA,1563643421,87,70.47,-68.59,42.8,12.75
123,Songjianghe,42,CN,1563643422,82,42.18,127.48,68.74,1.72
124,Mahebourg,40,MU,1563643423,83,-20.41,57.7,72.0,12.75
125,Rafaela,80,AR,1563643230,61,-31.25,-61.49,75.99,5.99
126,Nisia Floresta,40,BR,1563643425,58,-6.09,-35.21,82.4,17.22
127,Carnarvon,0,ZA,1563643426,50,-30.97,22.13,39.04,15.12
128,Deputatskiy,70,RU,1563643428,60,69.3,139.9,48.22,19.44
129,Puerto del Rosario,0,ES,1563643429,69,28.5,-13.86,78.8,21.92
130,Joshimath,75,IN,1563643147,89,30.57,79.57,55.78,2.71
131,Victoria,75,BN,1563643200,83,5.28,115.24,84.2,4.7
132,Bereda,20,ES,1563643432,64,43.27,-7.54,77.0,8.05
133,Seydi,20,NE,1563643433,44,13.34,7.75,93.2,9.17
134,Isangel,0,VU,1563643435,73,-19.55,169.27,70.72,20.69
135,Bandarbeyla,100,SO,1563643436,69,9.49,50.81,77.2,29.26
136,Ponta do Sol,20,BR,1563643437,48,-20.63,-46.0,69.28,8.55
137,Hof,0,DE,1563643438,39,50.32,11.92,86.0,12.75
138,San Carlos de Bariloche,100,AR,1563643439,99,-41.13,-71.31,33.8,2.24
139,Yueyang,66,CN,1563643441,77,29.36,113.12,80.98,2.15
140,Souillac,90,FR,1563643442,57,45.6,-0.6,80.6,16.11
141,Codrington,90,AU,1563643443,100,-28.95,153.24,55.99,1.12
142,Akdepe,0,TM,1563643444,46,42.05,59.39,98.6,4.7
143,Makakilo City,1,US,1563643446,83,21.35,-158.09,80.01,12.1
144,San Ramon,75,NI,1563643447,73,12.92,-85.84,75.2,9.17
145,Bilma,1,NE,1563643448,24,18.69,12.92,94.12,11.95
146,Houma,3,CN,1563643449,72,35.63,111.36,77.92,5.3
147,Cidreira,67,BR,1563643450,67,-30.17,-50.22,66.22,8.03
148,Kirakira,85,SB,1563643452,85,-10.46,161.92,76.12,11.7
149,Iqaluit,90,CA,1563643453,100,63.75,-68.52,41.0,10.29
150,Coquimbo,40,CL,1563643454,67,-29.95,-71.34,59.0,11.41
151,Mount Gambier,90,AU,1563643455,87,-37.83,140.78,53.6,19.46
152,Antalaha,59,MG,1563643456,93,-14.9,50.28,64.96,2.28
153,Xacmaz,1,AZ,1563643457,58,41.46,48.81,74.14,6.15
154,Los Llanos de Aridane,20,ES,1563643459,73,28.66,-17.92,75.2,18.34
155,East London,20,ZA,1563643460,76,-33.02,27.91,48.2,16.11
156,Hastings,0,NZ,1563643347,94,-39.64,176.84,37.24,2.21
157,Odessa,1,US,1563643210,36,31.85,-102.37,93.0,12.75
158,Provideniya,100,RU,1563643463,89,64.42,-173.23,51.46,3.42
159,Anadyr,75,RU,1563643464,87,64.73,177.51,59.0,6.71
160,Cabedelo,75,BR,1563643465,74,-6.97,-34.84,80.6,13.87
161,Manggar,27,ID,1563643467,95,-2.88,108.27,75.94,3.76
162,Dwarka,75,IN,1563643468,88,28.58,77.04,87.01,7.74
163,Mar del Plata,35,AR,1563643469,40,-46.43,-67.52,44.62,17.52
164,Kaohsiung,75,TW,1563643470,100,22.62,120.31,79.0,6.93
165,Vila Velha,40,BR,1563643471,62,-3.71,-38.6,86.0,19.46
166,Ahipara,74,NZ,1563643472,74,-35.17,173.16,56.5,14.81
